Treatment	Plant Number	Scan Side	File	Class	Root Tips	Number of Branch Points	Total Root Length (mm)	Branching Frequency	Network Area (mm^2)	Average Diameter (mm)	Median Diameter	Maximum Diameter	Perimeter	Volume	Surface Area	Diameter 1 (length)	Diameter 2	Diameter 3	Diameter 4	Diameter 5	Diameter 1 (area)	Diameter 2	Diameter 3	Diameter 4	Diameter 5	Diameter 1 (surface area)	Diameter 2	Diameter 3	Diameter 4	Diameter 5	Diameter 1 (volume)	Diameter 2	Diameter 3	Diameter 4	Diameter 5	
Control 	11	1	control20210629_003.tif	Control_11	137	954	1649.848	0.578	666.624	0.634	0.458	5.305	2430.814	1035.291	3248.883	216.601	1194.503	198.067	37.118	3.559	32.838	564.852	292.914	125.081	18.29	103.163	1775.093	920.216	392.953	57.459	4.027	245.251	364.624	347.535	73.854	
Control 	11	2	control20210629_004.tif	Control_11_2	154	756	1429.612	0.529	616.172	0.669	0.458	5.97	2106.933	948.932	2967.303	159.884	1033.313	203.158	29.642	3.616	24.372	503.182	297.605	99.13	19.881	76.602	1581.316	935.501	311.426	62.458	3.011	223.672	365.895	270.265	86.088	
Control	12	1																																		
Control	12	2																																		
Control 	13	1	control20210629_005.tif	Control_13	187	1027	1596.813	0.643	628.85	0.629	0.402	5.545	2345.041	1052.922	3149.375	201.058	1161.291	192.768	38.414	3.283	30.691	540.262	272.763	140.84	17.417	96.453	1698.179	857.566	442.462	54.716	3.797	231.784	324	420.718	72.623	
Control 	13	2	control20210629_006.tif	Control_13_2	147	832	1259.614	0.661	520.41	0.677	0.402	5.12	1835.39	1001.473	2676.862	164.134	890.494	149.667	54.515	0.804	24.851	412.159	221.999	188.017	4.08	78.143	1295.09	697.65	593.161	12.818	3.059	175.02	277.029	530.095	16.269	
Control 	14	1	control20210629_005.tif	Control_14	121	667	1142.386	0.584	490.636	0.683	0.402	6.038	1691.75	1026.767	2446.869	163.42	795.477	139.75	31.285	12.455	24.833	369.581	208.955	105.006	70.477	78.05	1161.073	656.451	329.885	221.41	3.055	156.878	263.952	288.941	313.941	
Control 	14	2	control20210629_006.tif	Control_14_2	161	669	1200.336	0.557	504.612	0.697	0.402	6.654	1789.577	1175.054	2614.595	171.024	836.389	137.833	40.467	14.623	26.126	382.139	201.5	139.79	82.479	82.077	1201.208	633.031	439.164	259.115	3.232	161.709	247.77	394.908	367.435	
Control 	15	1	control20210629_005.tif	Control_15	191	846	1571.239	0.538	587.789	0.56	0.381	3.637	2471.586	705.435	2718.749	288.523	1066.981	188.896	26.84	0	44.344	467.414	277.646	75.949	0	139.312	1468.588	872.25	238.599	0	5.51	189.382	340.236	170.307	0	
Control 	15	2	control20210629_006.tif	Control_15_2	185	855	1638.233	0.522	628.656	0.582	0.381	5.17	2560.885	904.61	2974.809	255.531	1197.317	137.873	46.265	1.248	39.495	548.783	203.214	148.67	6.363	124.076	1724.262	638.68	467.8	19.989	4.941	231.131	253.512	389.55	25.476	
