Treatment	Plant Number	Scan Side	File	Class	Root Tips	Number of Branch Points	Total Root Length (mm)	Branching Frequency	Network Area (mm^2)	Average Diameter (mm)	Median Diameter	Maximum Diameter	Perimeter	Volume	Surface Area	Diameter 1 (length)	Diameter 2	Diameter 3	Diameter 4	Diameter 5	Diameter 1 (area)	Diameter 2	Diameter 3	Diameter 4	Diameter 5	Diameter 1 (surface area)	Diameter 2	Diameter 3	Diameter 4	Diameter 5	Diameter 1 (volume)	Diameter 2	Diameter 3	Diameter 4	Diameter 5	
GHu WT	2	1	GHuWildType20210629_001.tif	GHu2	138	605	1200.593	0.504	586.588	0.749	0.524	5.436	1808.023	1061.06	2821.945	121.364	854.03	175.855	44.744	4.599	18.235	441.127	261.574	153.289	23.851	57.36	1386.325	821.759	481.572	74.929	2.223	207.015	327.174	427.465	97.184	
GHu WT	2	2	GHuWildType20210629_002.tif	GHu2_2	103	439	930.083	0.472	523.729	0.962	0.635	6.149	1282.748	1311.519	2802.952	86.28	532.555	247.482	55.211	8.554	13.182	274.261	372.525	184.821	47.057	41.449	862.213	1170.823	580.634	147.834	1.631	129.704	470.143	506.045	203.995	
GHu WT	3	1	GHuWildType20210629_001.tif	GHu3	96	364	737.152	0.494	392.374	0.86	0.508	5.843	1094.798	993.087	1996.286	94.606	461.563	128.725	43.673	8.585	14.176	224.874	196.019	154.675	45.563	44.535	706.874	615.812	485.924	143.141	1.719	100.27	249.696	451.147	190.254	
GHu WT	3	2	GHuWildType20210629_002.tif	GHu3_2	131	557	1049.347	0.531	476.193	0.732	0.458	5.037	1548.97	880.631	2402.856	173.516	639.324	197.036	39.254	0.217	26.277	305.333	302.703	129.32	1.09	82.586	959.605	950.97	406.27	3.425	3.222	135.689	389.229	348.185	4.306	
GHu WT	4	1	GHuWildType20210629_001.tif	GHu4	153	522	1077.425	0.484	415.12	0.543	0.402	3.818	1753.755	419.133	1813.012	161.72	801.029	107.868	6.809	0	24.968	365.389	165.93	20.743	0	78.438	1148.125	521.283	65.165	0	3.118	152.873	212.562	50.579	0	
GHu WT	4	2	GHuWildType20210629_002.tif	GHu4_2	139	426	953.866	0.447	389.58	0.564	0.402	4.418	1572.861	442.466	1677.614	133.212	711.975	97.596	11.083	0	20.143	324.247	150.884	38.56	0	63.316	1018.89	474.268	121.141	0	2.467	134.965	196.597	108.437	0	
GHu WT	5	1	GHuWildType20210629_001.tif	GHu5	62	162	414.883	0.39	199.5	0.681	0.458	3.752	667.285	281.552	887.021	65.681	267.624	68.32	13.258	0	9.977	130.167	102.513	39.56	0	31.344	409.023	322.373	124.281	0	1.228	58.86	127.505	93.96	0	
GHu WT	5	2	GHuWildType20210629_002.tif	GHu5_2	44	214	423.622	0.505	184.262	0.682	0.458	2.718	625.157	252.388	893.907	51.385	281.623	89.277	1.338	0	7.706	131.918	141.47	3.445	0	24.21	414.433	444.443	10.822	0	0.935	56.749	187.733	6.971	0	
GHu WT	6	1	GHuWildType20210629_001.tif	GHu6	85	342	759.001	0.451	381.382	0.891	0.508	6.929	1097.35	1133.984	2138.894	84.518	469.723	140.773	55.119	8.869	12.657	219.607	203.673	192.46	51.955	39.763	690.043	639.859	604.632	164.597	1.534	96.018	247.414	543.847	245.171	
GHu WT	6	2	GHuWildType20210629_002.tif	GHu6_2	101	272	582.938	0.467	319.975	1.1	0.508	6.476	847.684	1434.707	2051.969	67.225	342.494	89.789	62.18	21.25	10.136	156.023	148.048	218.707	120.16	31.844	490.44	465.106	687.087	377.492	1.237	65.513	204.458	627.12	536.379	
GHu WT	7	1	GHuWildType20210629_003.tif	GHu7	186	844	1430.649	0.59	605.829	0.646	0.458	4.206	2149.738	838.853	2874.357	217.048	972.957	209.544	31.1	0	33.27	473.66	313.618	94.138	0	104.522	1488.83	985.26	295.744	0	4.123	212.533	394.024	228.173	0	
GHu WT	7	2	GHuWildType20210629_004.tif	GHu7_2	177	1060	1603.498	0.661	608.809	0.597	0.402	5.664	2372.293	959.658	2980.934	211.106	1208.604	145.803	31.29	6.695	32.342	563.485	205.919	111.117	35.592	101.606	1771.083	647.345	349.085	111.814	4.006	241.14	244.109	321.622	148.781	
GHu WT	8	1	GHuWildType20210629_003.tif	GHu8	65	351	671.637	0.523	311.693	0.706	0.524	4.418	976.442	451.884	1481.461	67.042	474.035	116.425	14.135	0	9.997	243.067	171.954	46.372	0	31.407	763.944	540.426	145.683	0	1.208	113.068	214.536	123.072	0	
GHu WT	8	2	GHuWildType20210629_004.tif	GHu8_2	58	285	509.347	0.56	253.209	0.778	0.635	3.685	720.587	384.966	1227.179	29.967	368.546	93.598	17.237	0	4.626	199.8	133.86	52.337	0	14.534	627.691	420.534	164.42	0	0.577	97.144	161.103	126.142	0	
GHu WT	9	1	GHuWildType20210629_003.tif	GHu9	160	695	1475.4	0.471	663.366	0.719	0.402	5.991	2235.095	1442.334	3321.345	181.147	1042.543	168.786	75.515	7.408	27.776	476.025	246.65	266.438	40.295	87.262	1495.577	774.874	837.04	126.592	3.448	198.899	303.311	764.117	172.559	
GHu WT	9	2	GHuWildType20210629_004.tif	GHu9_2	141	488	1180.806	0.413	572.253	0.832	0.458	5.85	1764.451	1603.468	3113.088	120.345	807.572	165.309	69.413	18.167	18.523	379.633	250.917	243.821	97.958	58.193	1192.885	788.28	765.985	307.744	2.305	164.379	320.77	700.367	415.648	
GHu WT	10	1	GHuWildType20210629_003.tif	GHu10	125	614	1086.049	0.565	415.838	0.558	0.402	4.152	1712.149	494.894	1897.595	157.338	819.48	89.802	19.428	0	24.196	383.063	134.187	62.327	0	76.049	1203.509	422.231	195.806	0	3.014	162.568	169.938	159.373	0	
GHu WT	10	2	GHuWildType20210629_004.tif	GHu10_2	115	280	695.26	0.403	323.076	0.739	0.508	4.946	1103.818	653.063	1602.706	63.031	516.01	75.919	40.301	0	9.601	246.361	112.271	141.924	0	30.162	773.967	352.71	445.867	0	1.184	104.943	140.919	406.016	0	
GHu WT	11	1	GHuWildType20210629_003.tif	GHu11	80	324	585.413	0.553	294.987	0.861	0.635	4.714	765.052	584.419	1571.732	53.066	362.012	146.714	23.621	0	8.041	187.381	230.746	73.925	0	25.261	588.854	725.376	232.241	0	0.986	89.575	304.153	189.705	0	
GHu WT	11	2	GHuWildType20210629_004.tif	GHu11_2	123	459	836.151	0.549	355.33	0.721	0.402	5.138	1236.53	819.975	1906.107	139.104	541.172	105.625	48.845	1.406	20.953	245.586	166.569	166.357	7.107	65.862	772.001	523.292	522.625	22.327	2.558	102.836	222.423	463.943	28.214	
GHu WT	12	1	GHuWildType20210629_003.tif	GHu12	140	364	1029.188	0.354	521.172	0.692	0.458	4.602	1710.787	756.341	2239.017	125.762	704.382	168.733	30.312	0	19.047	322.232	275.817	95.489	0	59.839	1012.459	866.731	299.987	0	2.337	134.221	376.819	242.964	0	
GHu WT	12	2	GHuWildType20210629_004.tif	GHu12_2	130	363	1096.55	0.331	528.938	0.766	0.402	6.249	1731.565	1152.817	2609.022	121.947	755.91	147.681	65.127	5.884	18.68	329.514	239.115	210.332	32.503	58.686	1035.289	751.203	661.733	102.111	2.315	130.41	323.595	554.873	141.625	
GHu WT	13	1	GHuWildType20210629_005.tif	GHu13	136	772	1306.968	0.591	561.217	0.654	0.508	3.896	1897.081	755.386	2660.247	140.856	955.025	188.946	22.141	0	21.585	469.299	285.393	70.087	0	67.812	1475.01	897.238	220.186	0	2.676	212.004	363.449	177.257	0	
GHu WT	13	2	GHuWildType20210629_006.tif	GHu13_1	146	685	1191.209	0.575	532.511	0.688	0.458	4.658	1729.805	792.201	2569.179	126.725	830.88	209.032	24.572	0	19.219	402.999	318.505	76.935	0	60.378	1266.489	1000.612	241.699	0	2.358	181.794	411.124	196.926	0	
GHu WT	14	1	GHuWildType20210629_005.tif	GHu14	106	375	815.285	0.46	418.181	0.739	0.524	5.282	1264.638	657.549	1889.595	75.508	573.727	136.433	28.148	1.47	11.638	295.571	191.06	95.583	7.546	36.562	928.814	600.232	300.282	23.706	1.452	138.606	224.235	262.816	30.44	
GHu WT	14	2	GHuWildType20210629_006.tif	GHu14_2	101	512	979.178	0.523	470.136	0.725	0.524	4.137	1462.1	704.404	2213.51	101.126	675.074	167.997	34.981	0	15.453	341.936	242.682	104.237	0	48.547	1074.495	762.407	328.061	0	1.909	158.363	295.736	248.396	0	
GHu WT	15	1	GHuWildType20210629_005.tif	GHu15	74	336	646.935	0.519	392.959	1.13	0.803	6.706	775.442	1227.327	2288.156	40.459	346.041	204.584	44.543	11.307	6.275	191.744	311.31	152.986	65.593	19.714	602.704	978.442	481.23	206.066	0.786	96.665	398.197	430.684	300.995	
GHu WT	15	2	GHuWildType20210629_006.tif	GHu15_2	73	324	637.595	0.508	347.874	0.947	0.635	5.498	865.587	839.415	1897.093	55.87	386.906	149.493	43.126	2.199	8.169	204.279	241.406	138.496	11.513	25.664	641.762	758.4	435.098	36.169	0.966	97.263	328.718	365.087	47.381	
GHu Mutant	1	1	GHuMutant1E80220210629_003.tif	GM1	106	416	871.679	0.477	452.689	0.836	0.458	5.36	1300.987	1149.655	2296.123	123.465	551.558	125.728	65.219	5.709	18.884	255.175	199.802	227.445	29.475	59.325	801.657	628	714.541	92.6	2.336	110.584	267.746	649.434	119.555	
GHu Mutant	1	2	GHuMutant1E80220210629_004.tif	GM1_2	103	489	886.447	0.552	413.229	0.807	0.458	5.282	1261.222	988.283	2228.607	107.158	568.284	161.682	47.932	1.391	16.521	262.512	248.183	175.038	7.1	51.903	824.812	779.69	549.897	22.305	2.06	112.188	319.95	525.609	28.477	
GHu Mutant	2	1	GHuMutant1E80220210629_003.tif	GM2	88	314	621.85	0.505	257.415	0.68	0.402	4.348	948.234	486.558	1307.869	126.201	384.207	80.102	31.34	0	18.756	179.987	116.179	101.385	0	58.924	565.446	364.986	318.512	0	2.256	79.357	142.174	262.771	0	
GHu Mutant	2	2	GHuMutant1E80220210629_004.tif	GM2_2	87	278	578.073	0.481	246.387	0.747	0.381	4.833	890.966	664.786	1354.792	126.561	345.293	61.701	44.518	0	18.933	156.7	94.241	161.244	0	59.481	492.466	296.282	506.563	0	2.292	66.314	121.066	475.114	0	
GHu Mutant	3	1	GHuMutant1E80220210629_003.tif	GM3	175	819	1382.38	0.592	478.555	0.537	0.359	3.869	2204.232	637.918	2310.954	303.392	906.164	145.294	27.53	0	45.493	384.096	225.237	80.633	0	142.921	1207.114	707.602	253.317	0	5.52	150.698	293.985	187.715	0	
GHu Mutant	3	2	GHuMutant1E80220210629_004.tif	GM3_2	142	427	842.256	0.507	360.189	0.699	0.402	5.024	1338.121	719.999	1834.622	153.905	528.341	123.04	36.717	0.254	23.276	243.333	185.966	129.994	0.956	73.125	764.668	584.432	408.39	4.007	2.848	102.24	235.336	374.546	5.029	
GHu Mutant	4	1	GHuMutant1E80220210629_003.tif	GM4	236	1082	1950.675	0.555	769.793	0.591	0.458	4.56	3012.255	960.182	3586.206	268.132	1450.742	196.237	35.564	0	40.916	706.134	276.999	117.118	0	128.541	2218.857	870.871	367.937	0	5.049	311.743	330.847	312.543	0	
GHu Mutant	4	2	GHuMutant1E80220210629_004.tif	GM4_2	173	933	1782.704	0.523	741.978	0.622	0.458	4.01	2728.025	933.396	3428.32	234.875	1288.868	224.469	34.492	0	35.866	626.104	323.163	105.791	0	112.675	1967.545	1015.246	332.853	0	4.432	276.528	392.014	260.422	0	
GHu Mutant	5	1	GHuMutant1E80220210629_003.tif	GM5	257	1527	2182.651	0.7	809.01	0.604	0.402	5.372	3163.877	1306.645	4106.072	331.85	1568.127	227.477	50.745	4.452	50.529	725.049	334.981	172.597	23.054	158.778	2279.089	1053.551	542.228	72.425	6.226	307.302	417.578	481.755	93.785	
GHu Mutant	5	2	GHuMutant1E80220210629_004.tif	GM5_2	281	1361	2151.514	0.633	812.881	0.632	0.402	6.411	3145.158	1668.853	4290.413	328.725	1540.588	202.911	65.589	13.701	49.808	711.161	298.191	230.419	75.343	156.478	2234.947	937.224	723.884	237.879	6.115	301.858	368.561	662.129	330.191	
GHu Mutant	6	1	GHuMutant1E80220210629_003.tif	GM6	190	834	1647.72	0.506	659.72	0.623	0.381	5.058	2534.755	1082.985	3189.239	276.264	1133.987	184.074	53.241	0.153	41.968	508.519	285.017	178.555	0.775	131.881	1598.568	895.407	560.946	2.436	5.165	211.148	372.259	491.332	3.08	
GHu Mutant	6	2	GHuMutant1E80220210629_004.tif	GM6_2	206	1085	1763.931	0.615	724.49	0.659	0.458	6.995	2591.659	1408.458	3617.871	252.419	1265.642	186.831	45.112	13.928	38.65	603.255	274.227	154.991	80.121	121.422	1896.084	861.738	486.92	251.707	4.785	262.722	339.917	435.717	365.317	
GHu Mutant	7	1	GHuMutant1E80220210629_001.tif	GM7	128	527	921.601	0.572	408.527	0.634	0.402	5.307	1459.295	798.528	1837.194	145.496	677.292	56.298	39.676	2.84	22.198	309.571	82.005	156.14	14.796	69.737	972.817	257.627	490.529	46.484	2.741	128.531	102.613	504.092	60.553	
GHu Mutant	7	2	GHuMutant1E80220210629_002.tif	GM7_2	122	457	864.486	0.529	365.108	0.595	0.381	4.902	1400.882	598.874	1606.63	121.421	647.745	65.933	29.387	0	18.614	284.781	91.366	116.588	0	58.479	894.844	287.035	366.273	0	2.307	114.213	107.207	375.146	0	
GHu Mutant	8	1	GHuMutant1E80220210629_001.tif	GM8	168	834	1553.517	0.537	704.821	0.681	0.458	6.731	2411.591	1392.26	3297.178	231.815	1105.602	140.238	65.979	9.883	35.594	518.449	213.589	223.495	58.14	111.857	1629.2	671.338	702.129	182.654	4.424	222.048	277.581	617.29	270.916	
GHu Mutant	8	2	GHuMutant1E80220210629_002.tif	GM8_2	179	807	1490.157	0.542	656.067	0.687	0.458	5.991	2243.616	1227.455	3204.635	208.287	1046.554	169.863	58.395	7.058	31.852	499.845	259.301	190.511	38.507	100.065	1570.473	814.617	598.508	120.972	3.944	217.32	334.352	506.489	165.35	
GHu Mutant	9	1	GHuMutant1E80220210629_001.tif	GM9	183	725	1399.221	0.518	669.253	0.863	0.508	6.561	1995.198	2101.018	3799.763	169.64	919.96	208.069	73.072	28.479	25.833	452.505	307.04	259.039	164.876	81.156	1421.94	964.899	813.796	517.973	3.186	205.599	386.634	752.067	753.533	
GHu Mutant	9	2	GHuMutant1E80220210629_002.tif	GM9_2	141	878	1407.197	0.624	641.325	0.839	0.524	6.286	1870.017	1791.322	3688.643	175.16	903.284	243.875	65.999	18.879	26.374	447.907	364.876	227.561	107.124	82.857	1407.326	1147.015	714.905	336.54	3.218	204.351	462.158	642.3	479.294	
GHu Mutant	10	1	GHuMutant1E80220210629_001.tif	GM10	121	523	880.033	0.594	362.269	0.685	0.458	4.907	1269.799	688.11	1892.877	112.704	619.792	113.922	33.615	0	17.108	297.475	168.432	118.934	0	53.747	935.065	529.144	374.921	0	2.103	131.038	208.824	346.145	0	
GHu Mutant	10	2	GHuMutant1E80220210629_002.tif	GM10_2	132	670	1139.238	0.588	447.745	0.704	0.402	5.12	1626.954	1094.303	2506.361	163.336	785.252	123.41	66.744	0.497	25.176	344.322	183.775	241.82	2.521	79.094	1082.042	577.606	759.7	7.92	3.138	139.277	231.092	710.754	10.043	
GHu Mutant	11	1	GHuMutant1E80220210629_001.tif	GM11	106	285	719.223	0.396	374.423	0.792	0.458	4.67	1104.19	723.719	1781.102	99.711	443.313	134.19	42.009	0	15.107	201.442	216.798	133.53	0	47.462	632.85	681.295	419.495	0	1.852	84.63	293.809	343.428	0	
GHu Mutant	11	2	GHuMutant1E80220210629_002.tif	GM11_2	86	329	757.38	0.434	367.35	0.739	0.458	3.829	1145.692	553.204	1728.169	84.913	490.983	162.737	18.746	0	13.165	231	251.976	53.832	0	41.359	726.088	791.605	169.117	0	1.649	101.013	327.156	123.386	0	
GHu Mutant	12	1	GHuMutant1E80220210629_001.tif	GM12	103	776	1326.061	0.585	671.382	0.846	0.635	4.907	1703.513	1267.56	3493.746	97.096	866.238	300.756	61.971	0	14.769	468.277	429.072	199.538	0	46.399	1471.457	1349.023	626.867	0	1.818	229.248	516.627	519.867	0	
GHu Mutant	12	2	GHuMutant1E80220210629_002.tif	GM12_2	147	894	1587.534	0.563	738.716	0.771	0.508	5.747	2170.106	1481.763	3831.246	162.449	1079.761	269.904	70.445	4.976	24.924	537.778	397.472	232.452	26.672	78.3	1689.688	1249.198	730.269	83.791	3.094	246.652	494.128	625.412	112.476	
GHu Mutant	13	1	GHuMutant1E80220210629_005.tif	GM13	206	735	1512.334	0.486	603.563	0.616	0.402	4.579	2388.271	901.082	2892.136	221.77	1079.115	167.699	43.749	0	33.919	490.287	256.018	140.052	0	106.559	1541.079	804.51	439.988	0	4.195	206.164	328.807	361.916	0	
GHu Mutant	13	2	GHuMutant1E80220210629_006.tif	GM13_2	186	671	1267.98	0.529	507.564	0.591	0.402	4.379	2038.864	654.945	2332.65	192.09	905.991	149.821	20.078	0	29.47	418.971	226.218	67.601	0	92.582	1317.007	710.686	212.376	0	3.66	180.314	287.41	183.561	0	
GHu Mutant	14	1	GHuMutant1E80220210629_005.tif	GM14	149	626	1259.292	0.497	623.466	0.793	0.508	5.784	1874.495	1372.687	3117.239	125.619	871.735	191.274	61.573	9.09	19.223	416.417	294.799	212.712	48.833	60.425	1308.484	926.661	668.256	153.413	2.381	182.023	383.631	598.27	206.382	
GHu Mutant	14	2	GHuMutant1E80220210629_006.tif	GM14_2	201	727	1326.769	0.548	595.454	0.731	0.402	6.609	2020.878	1414.819	3044.451	208.238	894.687	157.917	52.755	13.172	31.42	424.69	250.642	185.964	76.215	98.781	1334.595	787.416	584.222	239.437	3.841	186.664	335.382	540.114	348.817	
GHu Mutant	15	1	GHuMutant1E80220210629_005.tif	GM15	147	690	1278.947	0.54	587.221	0.716	0.508	5.024	1890.811	900.999	2835.919	157.208	859.106	231.573	30.907	0.153	23.668	431.188	350.98	96.036	0.769	74.356	1354.805	1102.636	301.705	2.417	2.883	197.146	451.565	246.371	3.033	
GHu Mutant	15	2	GHuMutant1E80220210629_006.tif	GM15_2	109	649	1270.941	0.511	589.192	0.728	0.524	3.789	1815.977	841.784	2860.049	132.521	856.185	255.166	27.07	0	19.925	443.299	366.742	80.199	0	62.596	1392.848	1152.155	252.451	0	2.429	209.824	440.178	189.353	0	
